destination.bytes,destination.packets,event.duration,network.bytes,network.packets,source.bytes,source.packets
2840,12,934325235,4006,24,1166,12
152,2,179059,440,6,288,4
1154,12,5969612,2320,24,1166,12
11094,30,2768186,23428,66,12334,36
1018,10,521666103,2320,24,1302,14
11230,32,516642350,23566,68,12336,36
11230,32,514851830,25210,68,13980,36
152,2,153211,440,6,288,4
3624,8,1017211027,6267,21,2643,13
7248,16,1017265736,12534,42,5286,26
152,2,151646,440,6,288,4
1154,12,732805,2450,26,1296,14
152,2,148947,440,6,288,4
1408,10,505373963,4452,22,3044,12
152,2,157503,440,6,288,4
11094,30,2343494,23410,66,12316,36
152,2,152459,440,6,288,4
3852,9,1024218487,5578,22,1726,13
7704,18,1024243335,11156,44,3452,26
1548,8,513720278,2802,20,1254,12
1154,12,743714,2312,24,1158,12
11094,30,2595531,23444,66,12350,36
152,2,152396,440,6,288,4
152,2,165012,440,6,288,4
152,2,150548,440,6,288,4
152,2,151844,440,6,288,4
152,2,162351,440,6,288,4
152,2,153346,440,6,288,4
1154,12,2691355,2458,26,1304,14
11094,30,2464550,23436,66,12342,36
152,2,155360,440,6,288,4
152,2,167848,440,6,288,4
152,2,179055,440,6,288,4
10868,28,30112036242,22466,58,11598,30
11094,30,2543052,23470,66,12376,36
152,2,148743,440,6,288,4
152,2,161780,440,6,288,4
152,2,147835,440,6,288,4
152,2,163886,440,6,288,4
152,2,151071,440,6,288,4
152,2,150980,440,6,288,4
152,2,155014,440,6,288,4
152,2,156826,440,6,288,4
152,2,150439,440,6,288,4
1154,12,2670029,2314,24,1160,12
11230,32,2458329,23554,68,12324,36
152,2,153178,440,6,288,4
152,2,150396,440,6,288,4
152,2,177425,440,6,288,4
152,2,153077,440,6,288,4
152,2,153366,440,6,288,4
152,2,175636,440,6,288,4
10794,28,12120293843,22528,60,11734,32
11230,32,2261940,23606,68,12376,36
152,2,157460,440,6,288,4
1154,12,3166231,2320,24,1166,12
11094,30,2977604,23430,66,12336,36
152,2,148158,440,6,288,4
1154,12,2664439,2320,24,1166,12
11094,30,1968256,23428,66,12334,36
152,2,164381,440,6,288,4
1154,12,784580,2450,26,1296,14
152,2,166673,440,6,288,4
152,2,174105,440,6,288,4
152,2,163016,440,6,288,4
1154,12,752340,2448,26,1294,14
152,2,162052,440,6,288,4
152,2,149009,440,6,288,4
152,2,164067,440,6,288,4
152,2,155277,440,6,288,4
152,2,147614,440,6,288,4
152,2,195925,440,6,288,4
1154,12,2738245,2322,24,1168,12
11230,32,2555556,23572,68,12342,36
152,2,158773,440,6,288,4
152,2,158560,440,6,288,4
152,2,149379,440,6,288,4
152,2,162034,440,6,288,4
152,2,155876,440,6,288,4
152,2,153840,440,6,288,4
10794,28,5924804359,22528,60,11734,32
11094,30,2728629,23470,66,12376,36
152,2,183735,440,6,288,4
152,2,150835,440,6,288,4
152,2,148772,440,6,288,4
152,2,207810,440,6,288,4
152,2,149603,440,6,288,4
152,2,196075,440,6,288,4
1154,12,2915269,2314,24,1160,12
11230,32,2211711,23554,68,12324,36
152,2,179980,440,6,288,4
152,2,149258,440,6,288,4
152,2,161609,440,6,288,4
152,2,160520,440,6,288,4
152,2,153847,440,6,288,4
152,2,153941,440,6,288,4
152,2,159045,440,6,288,4
1018,10,2992171,2320,24,1302,14
11230,32,2253418,23566,68,12336,36
152,2,150418,440,6,288,4
1018,10,2837810,2320,24,1302,14
11094,30,2134093,23430,66,12336,36
152,2,157767,440,6,288,4
1154,12,740128,2450,26,1296,14
152,2,150494,440,6,288,4
152,2,177234,440,6,288,4
152,2,156441,440,6,288,4
1154,12,759627,2448,26,1294,14
10732,26,29984257482,22330,56,11598,30
11094,30,2497287,23470,66,12376,36
152,2,164120,440,6,288,4
152,2,147873,440,6,288,4
152,2,178669,440,6,288,4
152,2,172388,440,6,288,4
152,2,152039,440,6,288,4
152,2,160430,440,6,288,4
1018,10,2805843,2322,24,1304,14
11230,32,2622137,23572,68,12342,36
152,2,175493,440,6,288,4
152,2,157395,440,6,288,4
152,2,146579,440,6,288,4
152,2,181312,440,6,288,4
152,2,171443,440,6,288,4
152,2,178500,440,6,288,4
152,2,166945,440,6,288,4
152,2,154071,440,6,288,4
152,2,153021,440,6,288,4
152,2,184150,440,6,288,4
152,2,153967,440,6,288,4
152,2,196444,440,6,288,4
10794,28,12831653245,22528,60,11734,32
11094,30,2643305,23470,66,12376,36
1018,10,507387800,2314,24,1296,14
11230,32,506673891,23554,68,12324,36
152,2,153669,440,6,288,4
152,2,151412,440,6,288,4
152,2,150902,440,6,288,4
152,2,156449,440,6,288,4
152,2,150757,440,6,288,4
152,2,164677,440,6,288,4
152,2,157243,440,6,288,4
152,2,154803,440,6,288,4
1018,10,526649301,2320,24,1302,14
11230,32,526446615,23566,68,12336,36
1154,12,3202116,2320,24,1166,12
11230,32,2238048,23566,68,12336,36
152,2,150079,440,6,288,4
1154,12,730703,2450,26,1296,14
152,2,152341,440,6,288,4
152,2,159936,440,6,288,4
152,2,159184,440,6,288,4
1018,10,673524,2312,24,1294,14
152,2,153521,440,6,288,4
152,2,148490,440,6,288,4
152,2,158490,440,6,288,4
152,2,161405,440,6,288,4
10658,26,7999618472,22392,58,11734,32
152,2,157946,440,6,288,4
11094,30,2414813,23470,66,12376,36
152,2,148457,440,6,288,4
1154,12,3096034,2322,24,1168,12
11230,32,2786481,23572,68,12342,36
152,2,160418,440,6,288,4
152,2,152482,440,6,288,4
152,2,159216,440,6,288,4
152,2,156343,440,6,288,4
152,2,150568,440,6,288,4
152,2,176879,440,6,288,4
152,2,204710,440,6,288,4
152,2,158496,440,6,288,4
152,2,147326,440,6,288,4
152,2,158043,440,6,288,4
152,2,152293,440,6,288,4
152,2,156752,440,6,288,4
1018,10,3042378,2314,24,1296,14
11094,30,2194873,23418,66,12324,36
152,2,155010,440,6,288,4
152,2,146599,440,6,288,4
152,2,150596,440,6,288,4
152,2,156388,440,6,288,4
152,2,158730,440,6,288,4
10794,28,1855237498,22528,60,11734,32
11094,30,509656072,23470,66,12376,36
152,2,153722,440,6,288,4
152,2,159293,440,6,288,4
152,2,147596,440,6,288,4
1154,12,2780472,2320,24,1166,12
11230,32,2040805,23566,68,12336,36
1154,12,3436847,2456,26,1302,14
11094,30,3215441,23430,66,12336,36
152,2,179967,440,6,288,4
1154,12,730517,2450,26,1296,14
152,2,145077,440,6,288,4
152,2,174247,440,6,288,4
152,2,157650,440,6,288,4
1154,12,776386,2448,26,1294,14
152,2,175856,440,6,288,4
152,2,151845,440,6,288,4
152,2,162106,440,6,288,4
152,2,148237,440,6,288,4
152,2,147014,440,6,288,4
152,2,192877,440,6,288,4
1154,12,2621743,2322,24,1168,12
11094,30,2414658,23436,66,12342,36
10522,24,1711199,21984,52,11462,28
152,2,151095,440,6,288,4
11094,30,2275860,23470,66,12376,36
152,2,156431,440,6,288,4
152,2,148938,440,6,288,4
152,2,155171,440,6,288,4
152,2,148593,440,6,288,4
152,2,155879,440,6,288,4
152,2,185023,440,6,288,4
152,2,153716,440,6,288,4
152,2,150651,440,6,288,4
152,2,192346,440,6,288,4
152,2,152028,440,6,288,4
152,2,189675,440,6,288,4
152,2,191287,440,6,288,4
1154,12,2854120,2450,26,1296,14
11230,32,2633035,23554,68,12324,36
152,2,152040,440,6,288,4
152,2,158121,440,6,288,4
152,2,174354,440,6,288,4
152,2,166958,440,6,288,4
152,2,149315,440,6,288,4
152,2,156307,440,6,288,4
10658,26,3612860,22120,54,11462,28
11094,30,3591677,23470,66,12376,36
152,2,171884,440,6,288,4
1154,12,2794979,2456,26,1302,14
